Experiment,Colony,Location,Treatment,Temp,Sed,Chamber,Day,Time,rsq,mo2
3,3,NB,C,C,C,1,Day2,33,0.991,-0.791331448
3,3,NB,C,C,C,1,Day2,34,0.992,-0.833117699
3,3,NB,C,C,C,1,Day2,35,0.928,-0.379657044
3,3,NB,C,C,C,1,Day2,36,0.924,-0.388062081
3,3,NB,C,C,C,1,Day2,37,0.987,-0.69822511
3,3,NB,C,C,C,1,Day2,38,0.988,-0.794970262
3,3,NB,C,C,C,1,Day2,39,0.983,-0.791939015
3,3,NB,C,C,C,1,Day2,40,0.988,-0.823377117
3,3,NB,C,C,C,1,Day2,41,0.951,-0.46197448
3,3,NB,C,C,C,1,Day2,42,0.951,-0.474394914
3,3,NB,C,C,C,1,Day2,43,0.984,-0.695848159
3,3,NB,C,C,C,1,Day2,44,0.971,-0.687346501
3,3,NB,C,C,C,1,Day2,45,0.996,-1.308276423
3,3,NB,C,C,C,1,Day2,46,0.994,-1.269535348
3,3,NB,C,C,C,1,Day2,47,0.963,-0.794984648
3,3,NB,C,C,C,1,Day2,48,0.977,-0.939918474
3,3,NB,C,C,C,1,Day2,49,0.972,-0.964297733
3,3,NB,C,C,C,1,Day2,50,0.96,-0.810934142
3,3,NB,HS,C,H,2,Day2,1,0.406,0.048733762
3,3,NB,HS,C,H,2,Day2,2,0.941,0.264346143
3,3,NB,HS,C,H,2,Day2,3,0.966,0.354850467
3,3,NB,HS,C,H,2,Day2,4,0.944,0.297529952
